customer_id,account_length,total_orders,total_amount_spent,days_since_last_purchase,experience,product_range,likeliness_to_recommend,product_quality,time_spent_in_the_shop_last,page_views_last,churn
1,61,4,439,69,4,1,3,2,5,5,1
2,28,5,135,36,3,2,1,3,48,10,1
3,81,2,391,61,3,3,2,3,28,17,1
4,42,3,439,45,1,3,3,2,44,6,1
5,15,3,462,48,3,1,3,4,10,15,1
6,24,5,347,49,1,3,1,3,45,10,1
7,56,4,465,83,4,3,1,1,15,15,1
8,54,4,448,35,4,1,1,1,56,7,1
9,19,4,388,74,3,3,2,2,8,11,1
10,30,4,448,42,2,1,1,1,40,4,1
11,97,5,408,98,3,1,2,2,33,9,1
12,26,4,362,51,2,2,1,4,65,12,1
13,20,1,457,46,3,3,1,3,58,7,1
14,61,5,223,84,4,2,3,2,62,17,1
15,100,5,106,76,1,2,2,2,16,12,1
16,76,1,109,31,4,1,1,3,46,2,1
17,59,3,73,48,3,2,1,3,17,12,1
18,20,4,280,35,4,2,1,1,33,1,1
19,53,2,289,77,4,3,1,1,2,20,1
20,17,2,154,38,4,2,2,2,45,15,1
21,24,4,420,61,1,2,1,3,15,14,1
22,33,2,87,96,2,1,2,3,44,2,1
23,93,2,92,95,2,3,3,3,52,16,1
24,99,5,469,69,4,1,1,2,43,3,1
25,40,5,144,83,4,3,3,1,30,4,1
26,35,3,385,40,4,2,2,3,22,4,1
27,75,3,78,82,1,3,2,1,5,15,1
28,25,5,16,51,2,1,3,1,38,2,1
29,63,1,120,42,1,2,3,2,61,10,1
30,35,0,189,39,4,2,3,2,57,18,1
31,33,3,241,72,3,3,2,1,2,10,1
32,95,1,497,61,4,2,1,4,47,14,1
33,32,3,3,80,1,1,1,1,61,17,1
34,42,2,164,31,4,2,2,1,32,11,1
35,37,2,430,39,2,1,3,1,27,20,1
36,98,0,377,54,2,1,3,2,8,4,1
37,80,1,186,77,1,2,3,1,47,13,1
38,64,1,244,72,1,3,3,3,48,13,1
39,30,3,5,81,1,3,2,4,55,10,1
40,93,2,57,52,3,2,2,4,27,19,1
41,63,5,210,87,2,2,1,4,17,19,1
42,58,0,451,52,1,1,1,2,66,6,1
43,15,1,101,64,4,3,3,2,30,17,1
44,55,1,71,99,1,1,2,3,30,18,1
45,87,2,155,34,1,2,1,3,12,20,1
46,57,4,321,76,1,1,3,1,58,13,1
47,74,4,131,40,3,3,2,1,5,4,1
48,27,2,312,33,2,2,1,4,43,14,1
49,46,4,32,78,1,1,3,4,16,1,1
50,71,0,71,56,4,2,3,1,65,15,1
51,82,8,766,49,5,4,4,4,27,29,0
52,135,7,526,24,2,3,2,2,27,5,0
53,66,7,156,12,5,3,2,3,54,26,0
54,63,9,283,37,3,3,2,5,68,20,0
55,112,10,622,10,2,5,5,5,66,4,0
56,145,8,434,38,4,4,2,4,38,11,0
57,58,6,337,19,3,4,4,4,60,24,0
58,102,7,360,38,3,5,2,3,61,30,0
59,147,8,527,16,5,4,3,4,16,7,0
60,71,3,653,16,4,5,3,5,28,21,0
61,97,5,657,27,2,5,4,2,31,28,0
62,126,7,141,10,4,5,4,4,42,10,0
63,73,5,463,10,5,4,3,5,61,30,0
64,133,9,500,16,5,4,5,4,61,22,0
65,77,6,259,39,3,5,2,4,12,8,0
66,64,5,736,31,4,5,4,4,28,11,0
67,96,9,733,44,3,3,2,4,59,22,0
68,96,7,417,28,3,4,3,2,41,5,0
69,51,5,609,21,4,5,5,2,58,23,0
70,76,9,375,41,3,5,5,2,14,14,0
71,76,8,576,13,3,5,3,2,22,10,0
72,54,6,332,10,5,4,4,5,21,30,0
73,81,8,109,17,3,4,2,2,33,15,0
74,129,9,113,16,4,4,4,4,36,13,0
75,91,9,665,40,2,3,5,4,68,28,0
76,132,9,149,16,5,5,4,2,57,10,0
77,147,8,466,32,3,4,3,3,57,30,0
78,93,7,755,39,4,5,5,3,64,5,0
79,147,9,157,19,3,3,2,4,24,9,0
80,61,2,120,26,5,5,5,3,70,25,0
81,105,4,700,10,5,4,4,4,63,19,0
82,129,3,324,44,4,3,2,4,16,21,0
83,80,4,448,19,4,4,4,2,22,23,0
84,55,9,399,45,3,3,5,4,11,27,0
85,147,2,512,20,3,5,4,4,44,10,0
86,68,4,437,30,4,5,4,5,47,10,0
87,100,3,107,46,3,5,2,3,16,5,0
88,66,7,279,18,4,5,4,3,30,5,0
89,106,6,720,40,2,5,3,3,44,22,0
90,143,2,662,33,5,5,3,3,39,27,0
91,106,7,512,40,5,3,4,5,39,10,0
92,86,3,343,11,5,5,5,2,47,15,0
93,76,7,664,32,5,4,2,4,43,25,0
94,109,4,694,37,4,3,3,5,19,12,0
95,89,3,601,21,2,4,2,3,40,25,0
96,93,4,279,43,2,3,4,4,31,19,0
97,122,9,754,48,5,5,5,5,55,30,0
98,133,9,761,44,5,3,2,2,39,22,0
99,132,2,541,12,2,5,3,5,66,23,0
100,128,6,308,29,5,3,5,5,68,28,0
